UF;Fund_inc;Medio_inc;Medio_completo;;;;;;;
RO;0,789;0,0959;0,1151;;;;;;;
AC;0,7306;0,0566;0,2128;;;;;;;
AM;0,6045;0,1315;0,2641;;;;;;;
RR;0,6329;0,1271;0,24;;;;;;;
PA;0,7383;0,0881;0,1737;;;;;;;
AP;0,6484;0,0801;0,2715;;;;;;;
TO;0,7819;0,0759;0,1422;;;;;;;
MA;0,8148;0,0722;0,113;;;;;;;
PI;0,7885;0,0571;0,1544;;;;;;;
CE;0,7338;0,0645;0,2016;;;;;;;
RN;0,6913;0,0649;0,2438;;;;;;;
PB;0,773;0,059;0,1679;;;;;;;
PE;0,6868;0,078;0,2352;;;;;;;
AL;0,7755;0,0467;0,1779;;;;;;;
SE;0,7477;0,0617;0,1906;;;;;;;
BA;0,7863;0,0314;0,1823;;;;;;;
MG;0,6731;0,0895;0,2374;;;;;;;
ES;0,6759;0,0721;0,252;;;;;;;
RJ;0,4325;0,1299;0,4376;;;;;;;
SP;0,5444;0,1122;0,3435;;;;;;;
PR;0,6602;0,0906;0,2492;;;;;;;
SC;0,5996;0,1651;0,2354;;;;;;;
RS;0,6386;0,1169;0,2445;;;;;;;
MS;0,6518;0,1051;0,2431;;;;;;;
MT;0,7491;0,0864;0,1644;;;;;;;
GO;0,6725;0,0858;0,2417;;;;;;;
DF;0,431;0,1077;0,4613;;;;;;;
Total;0,6349;0,0954;0,2697;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
